"item_sugerido","veces","variantes"
"CAMBIO DE ACEITE","633","CAMBIO DE ACEITE (631) | CAMBIO DE  ACEITE (1) | CAMBIO DE ACEITE} (1)"
"FILTRO DE ACEITE","615","FILTRO DE ACEITE (612) | FILTRO DE ACEITE} (1) | FILTRO DE ACETIE (1) | FILTRO DE ACETE (1)"
"LAVADA","551","LAVADA (549) | LAVADA} (1) | LAVADA: (1)"
"MANO DE OBRA","401","MANO DE OBRA (400) | MANO DE OBRA} (1)"
"MANTENIMIENTO GENERAL","369","MANTENIMIENTO GENERAL (264) | MTO GENERAL (105)"
"FILTRO DE AIRE","193","FILTRO DE AIRE (192) | FILTRO DE AIR (1)"
"PASTILLAS TRASERAS","179","PASTILLAS TRASERAS (178) | PASTILLAS TRASERAS} (1)"
"ACEITE HIDRAULICO","145","ACEITE HIDRAULICO (143) | ACEITE HIDRÁULICO (2)"
"PASTILLAS DELANTERAS","138","PASTILLAS DELANTERAS (138)"
"MANTENIMIENTO PREVENTIVO","133","MANTENIMIENTO PREVENTIVO (104) | MTO PREVENTIVO (29)"
"DEPURACION ABS","105","DEPURACION ABS (105)"
"ACEITE","102","ACEITE (102)"
"VALVULINA","88","VALVULINA (88)"
"REFRIGERANTE","82","REFRIGERANTE (82)"
"TECNOMECANICA","72","TECNOMECANICA (72)"
"MANTENIMIENTO Y RETEN DE CLUTCH","67","MANTENIMIENTO Y RETEN DE CLUTCH (43) | MTO Y RETEN DE CLUTCH (24)"
"DEPURACION LIQUIDO DE FRENOS","60","DEPURACION LIQUIDO DE FRENOS (57) | DEPURACIÓN LÍQUIDO DE FRENOS (3)"
"TENSION DE CADENA","57","TENSION DE CADENA (57)"
"BATERIA","55","BATERIA (54) | BATERIA} (1)"
"SENTADA DE VALVULAS","54","SENTADA DE VALVULAS (54)"
"MANTENIMIENTO DE BARRAS","54","MANTENIMIENTO DE BARRAS (35) | MTO DE BARRAS (19)"
"MANTENIMIENTO DE BARRA","54","MANTENIMIENTO DE BARRA (36) | MTO DE BARRA (18)"
"MANTENIMIENTO DE CARDAN","49","MANTENIMIENTO DE CARDAN (31) | MTO DE CARDAN (18)"
"CUNAS","48","CUNAS (48)"
"SINCRONIZACION Y MANTENIMIENTO GENERAL","47","SINCRONIZACION Y MANTENIMIENTO GENERAL (41) | SINCRONIZACION Y MTO GENERAL (4) | SINCRONIZACIÓN Y MTO GENERAL (1) | SINCRONIZACIÓN Y MANTENIMIENTO GENERAL (1)"
"SELLOS DE VALVULAS","41","SELLOS DE VALVULAS (41)"
"PASTILLAS","39","PASTILLAS (38) | ´PASTILLAS (1)"
"RETOQUES","37","RETOQUES (37)"
"CADENILLA","34","CADENILLA (34)"
"MANTENIMIENTO FILTRO DE AIRE","32","MANTENIMIENTO FILTRO DE AIRE (21) | MTO FILTRO DE AIRE (11)"
"KIT DE ARRASTRE","32","KIT DE ARRASTRE (32)"
"MANO DE OBRA ACEITE","32","MANO DE OBRA ACEITE (32)"
"ARREGLO AMORTIGUADOR","29","ARREGLO AMORTIGUADOR (29)"
"TAPA DE RADIADOR","28","TAPA DE RADIADOR (27) | TAPA DE RADIADOR} (1)"
"ARREGLO ABS","28","ARREGLO ABS (28)"
"BUJIAS","28","BUJIAS (27) | BUJIAS} (1)"
"RETEN DE BARRA","27","RETEN DE BARRA (27)"
"CAMBIO FILTRO DE AIRE","26","CAMBIO FILTRO DE AIRE (26)"
"RODAMIENTOS DELANTEROS","25","RODAMIENTOS DELANTEROS (25)"
"CAMBIO DE LLANTAS","25","CAMBIO DE LLANTAS (25)"
"SINCRONIZACION","23","SINCRONIZACION (22) | SINCRONIZACIÓN (1)"
"EMPAQUE","21","EMPAQUE (21)"
"KIT DE CILINDRO","21","KIT DE CILINDRO (21)"
"PINTURA TAPAS DE MOTOR","21","PINTURA TAPAS DE MOTOR (21)"
"CAMBIO DE LLANTA","20","CAMBIO DE LLANTA (20)"
"EMPAQUETADURA","20","EMPAQUETADURA (20)"
"MANTENIMIENTO DE CADENA","20","MANTENIMIENTO DE CADENA (16) | MTO DE CADENA (4)"
"GUAYA DE ACELERADOR","20","GUAYA DE ACELERADOR (20)"
"MODIFICACION DE EXOSTO","20","MODIFICACION DE EXOSTO (20)"
"MANO DE OBRA MOTOR","19","MANO DE OBRA MOTOR (19)"
"LLANTA TRASERA","19","LLANTA TRASERA (19)"
"EXPLORADORAS","18","EXPLORADORAS (18)"
"MANTENIMIENTO KIT DE ARRASTRE","18","MANTENIMIENTO KIT DE ARRASTRE (10) | MTO KIT DE ARRASTRE (8)"
"MANTENIMIENTO DE CLUTCH","17","MANTENIMIENTO DE CLUTCH (14) | MTO DE CLUTCH (3)"
"1 BOBINA","16","1 BOBINA (16)"
"LLANTA DELANTERA","16","LLANTA DELANTERA (16)"
"ANILLOS","16","ANILLOS (16)"
"GUAYA DE CLUTCH","16","GUAYA DE CLUTCH (16)"
"DISCOS DE CLUTCH","16","DISCOS DE CLUTCH (16)"
"CADENA","15","CADENA (15)"
"INSTALACION DE EXPLORADORAS","15","INSTALACION DE EXPLORADORAS (15)"
"RODAMIENTOS TRASEROS","14","RODAMIENTOS TRASEROS (14)"
"MEDIAS DE BARRAS","13","MEDIAS DE BARRAS (13)"
"BUJIA","13","BUJIA (13)"
"COCUYOS","13","COCUYOS (13)"
"PINTURA DE RINES","13","PINTURA DE RINES (13)"
"CAMBIO KIT DE ARRASTRE","13","CAMBIO KIT DE ARRASTRE (13)"
"BOBINA","13","BOBINA (13)"
"TAPIZADO SILLA","12","TAPIZADO SILLA (11) | TAPIZADO SILLA} (1)"
"CALCOMANIAS","12","CALCOMANIAS (12)"
"DEFLECTORES","12","DEFLECTORES (12)"
"GUARDABARRO TRASERO","12","GUARDABARRO TRASERO (12)"
"CORONA","12","CORONA (12)"
"CAMBIO DE ACEITE 10W40","12","CAMBIO DE ACEITE 10W40 (12)"
"DISCO TRASERO","12","DISCO TRASERO (12)"
"LIMPIEZA FILTRO DE AIRE","12","LIMPIEZA FILTRO DE AIRE (12)"
"DIRECCIONALES","11","DIRECCIONALES (11)"
"BUJES DE DIRECCION","11","BUJES DE DIRECCION (11)"
"BOMBILLO FRONTAL","11","BOMBILLO FRONTAL (11)"
"HELICOIL","11","HELICOIL (11)"
"CAMBIO DE CUNAS","11","CAMBIO DE CUNAS (11)"
"EMBOBINADO CORONA","11","EMBOBINADO CORONA (11)"
"MANTENIMIENTO BARRA DERECHA","11","MANTENIMIENTO BARRA DERECHA (8) | MTO BARRA DERECHA (3)"
"4 BUJIAS","11","4 BUJIAS (11)"
"LLANTAS","11","LLANTAS (11)"
"DEFENSAS","11","DEFENSAS (11)"
"TENSOR DE CADENILLA","11","TENSOR DE CADENILLA (11)"
"RETOQUES GENERALES","11","RETOQUES GENERALES (11)"
"MANTENIMIENTO GENRAL","11","MANTENIMIENTO GENRAL (8) | MTO GENRAL (3)"
"BIELETAS","10","BIELETAS (10)"
"MANO DE OBRA BARRAS","10","MANO DE OBRA BARRAS (10)"
"RETEN Y MANTENIMIENTO DE CLUTCH","10","RETEN Y MANTENIMIENTO DE CLUTCH (7) | RETEN Y MTO DE CLUTCH (2) | RETÉN Y MTO DE CLUTCH (1)"
"ARREGLO CORONA","10","ARREGLO CORONA (10)"
"REVISION FILTRO DE AIRE","10","REVISION FILTRO DE AIRE (10)"
"ARREGLO MOTOR DE ARRANQUE","10","ARREGLO MOTOR DE ARRANQUE (10)"
"BOMBILLOS LED","10","BOMBILLOS LED (10)"
"ACEITE MOTOR","10","ACEITE MOTOR (10)"
"MANUBRIO","10","MANUBRIO (10)"
"PINTURA DE TANQUE","10","PINTURA DE TANQUE (10)"
"INSTALACION CARPLAY","10","INSTALACION CARPLAY (10)"
"RETEN DE CLUTCH","10","RETEN DE CLUTCH (10)"
"ARREGLO TABLERO","9","ARREGLO TABLERO (9)"
"MANO DE OBRA GENERAL","9","MANO DE OBRA GENERAL (9)"
"PORTAPLACA","9","PORTAPLACA (9)"
"BOMBILLO","9","BOMBILLO (9)"
"ARREGLO DEFENSA","9","ARREGLO DEFENSA (9)"
"INSTALACION EXPLORADORAS","9","INSTALACION EXPLORADORAS (9)"
"ARREGLO RADIADOR","9","ARREGLO RADIADOR (9)"
"PINTURA GENERAL","9","PINTURA GENERAL (9)"
"EMPAQUES","9","EMPAQUES (9)"
"GASOLINA","9","GASOLINA (9)"
"TRANSPORTE","9","TRANSPORTE (9)"
"SCANNER","9","SCANNER (9)"
"MANO DE OBRA BARRA","9","MANO DE OBRA BARRA (9)"
"ARREGLO MULETA","9","ARREGLO MULETA (9)"
"CUNAS INSTALADAS","9","CUNAS INSTALADAS (9)"
"REPARACION","9","REPARACION (9)"
"ACEITE DE MOTOR","8","ACEITE DE MOTOR (8)"
"MANTENIMIENTO DE BARRA DERECHA","8","MANTENIMIENTO DE BARRA DERECHA (7) | MTO DE BARRA DERECHA (1)"
"REPARACION PARCIAL","8","REPARACION PARCIAL (8)"
"CORRECCION FUGA CKP","8","CORRECCION FUGA CKP (8)"
"VALVULAS","8","VALVULAS (8)"
"CAMBIO DE PASTILLAS","8","CAMBIO DE PASTILLAS (8)"
"RADIO TRASERO","8","RADIO TRASERO (8)"
"EMPAQUE TAPA VOLANTE","8","EMPAQUE TAPA VOLANTE (8)"
"LUBRICACION DE CADENA","8","LUBRICACION DE CADENA (8)"
"FILTRO DE GASOLINA","8","FILTRO DE GASOLINA (8)"
"TENSION Y LUBRICACION DE CADENA","8","TENSION Y LUBRICACION DE CADENA (8)"
"AJUSTE DE CUNAS","8","AJUSTE DE CUNAS (8)"
"ARREGLO TAPA","8","ARREGLO TAPA (8)"
"CAMBIO DE ACEITE 20W50","8","CAMBIO DE ACEITE 20W50 (8)"
"PINTURA ELECTROSTATICA","8","PINTURA ELECTROSTATICA (7) | PINTURA ELECTROSTÁTICA (1)"
"ARREGLO SUSPENSION","8","ARREGLO SUSPENSION (7) | ARREGLO SUSPENSIÓN (1)"
"LLANTA","8","LLANTA (8)"
"FUGA CKP","8","FUGA CKP (8)"
"ARREGLO RIN DELANTERO","8","ARREGLO RIN DELANTERO (8)"
"CARGA DE BATERIA","7","CARGA DE BATERIA (7)"
"1 4 DE ACEITE","7","1/4 DE ACEITE (7)"
"PULIDA DE VISOR","7","PULIDA DE VISOR (7)"
"GUAYAS DE ACELERADOR","7","GUAYAS DE ACELERADOR (7)"
"EXTRACCION DE TORNILLO","7","EXTRACCION DE TORNILLO (7)"
"RODAMIENTO TRASERO","7","RODAMIENTO TRASERO (7)"
"BALANCINES","7","BALANCINES (7)"
"ARREGLO RIN","7","ARREGLO RIN (7)"
"CAMBIO LIQUIDO DE FRENOS","7","CAMBIO LIQUIDO DE FRENOS (7)"
"EXTRACCION DE TORNILLOS","7","EXTRACCION DE TORNILLOS (7)"
"INTERRUPTOR","7","INTERRUPTOR (7)"
"RETEN","7","RETEN (7)"
"ARREGLO BOBINA","7","ARREGLO BOBINA (7)"
"CORRECCION DE FUGA","7","CORRECCION DE FUGA (7)"
"ARREGLO DE RIN","7","ARREGLO DE RIN (7)"
"ARREGLO RIN TRASERO","7","ARREGLO RIN TRASERO (7)"
"DISCOS DE CLUTCH Y SEPARADORES","7","DISCOS DE CLUTCH Y SEPARADORES (7)"
"CAMBIO DE VALVULINA","7","CAMBIO DE VALVULINA (7)"
"MEDIAS","7","MEDIAS (7)"
"TAPIZADO DE SILLA","6","TAPIZADO DE SILLA (6)"
"CAMBIO LLANTA TRASERA","6","CAMBIO LLANTA TRASERA (6)"
"CORRECCION FUGA","6","CORRECCION FUGA (6)"
"MANO DE OBRA FILTRO DE AIRE","6","MANO DE OBRA FILTRO DE AIRE (6)"
"RETEN DE CARDAN","6","RETEN DE CARDAN (6)"
"AMORTIGUADOR","6","AMORTIGUADOR (6)"
"MEDIAS PARA BARRAS","6","MEDIAS PARA BARRAS (6)"
"PINTURA TAPA DE MOTOR","6","PINTURA TAPA DE MOTOR (6)"
"BRILLO DE EXOSTO","6","BRILLO DE EXOSTO (6)"
"RELAY","6","RELAY (6)"
"LUBRICANTE DE CADENA","6","LUBRICANTE DE CADENA (6)"
"RETENES DE BARRAS","6","RETENES DE BARRAS (6)"
"TAPIZADO SILLIN","6","TAPIZADO SILLIN (6)"
"CAJA DE HERRAMIENTAS","6","CAJA DE HERRAMIENTAS (6)"
"PINTURA","6","PINTURA (6)"
"ARREGLO GUARDABARRO","6","ARREGLO GUARDABARRO (6)"
"2 BOBINAS","6","2 BOBINAS (6)"
"CAPUCHON","6","CAPUCHON (6)"
"COCUYOS LED","6","COCUYOS LED (6)"
"REVISION DE PASTILLAS","6","REVISION DE PASTILLAS (6)"
"BOMBILLO FAROLA","6","BOMBILLO FAROLA (6)"
"LIQUIDO DE FRENOS","6","LIQUIDO DE FRENOS (6)"
"ARREGLO DE PRENSA","6","ARREGLO DE PRENSA (6)"
"ESPEJOS","5","ESPEJOS (5)"
"MANTENIMIENTO BOMBA DE CLUTCH","5","MANTENIMIENTO BOMBA DE CLUTCH (3) | MTO BOMBA DE CLUTCH (2)"
"MANTENIMIENTO DE BOBINAS","5","MANTENIMIENTO DE BOBINAS (4) | MTO DE BOBINAS (1)"
"DISCOS","5","DISCOS (5)"
"IMPRONTAS","5","IMPRONTAS (5)"
"ACEITE 10W40","5","ACEITE 10W40 (5)"
"EXPLORADORA","5","EXPLORADORA (5)"
"PROTECTOR DE FAROLA","5","PROTECTOR DE FAROLA (5)"
"CAMBIO RETEN DE CLUTCH","5","CAMBIO RETEN DE CLUTCH (5)"
"REVISAR PASTILLAS","5","REVISAR PASTILLAS (5)"
"PITOS","5","PITOS (5)"
"MANTENIMIENTO SUSPENSION TRASERA","5","MANTENIMIENTO SUSPENSION TRASERA (3) | MTO SUSPENSION TRASERA (2)"
"EXOSTO","5","EXOSTO (5)"
"SALDO ANTERIOR","5","SALDO ANTERIOR (5)"
"EMBLEMA","5","EMBLEMA (5)"
"MANTENIMIENTO TRAPECIO","5","MTO TRAPECIO (4) | MANTENIMIENTO TRAPECIO (1)"
"ANILLADA","5","ANILLADA (5)"
"MOTOR DE ARRANQUE","5","MOTOR DE ARRANQUE (5)"
"EMPAQUETADURA MEDIA","5","EMPAQUETADURA MEDIA (5)"
"INSTALACION DE LLANTA","5","INSTALACION DE LLANTA (5)"
"PINTURA DE MANIJAS","5","PINTURA DE MANIJAS (5)"
"DESPINCHADA","5","DESPINCHADA (5)"
"CAMBIO DE ACEITE Y FILTRO","5","CAMBIO DE ACEITE Y FILTRO (5)"
"MANTENIMIENTO BARRA IZQUIERDA","5","MANTENIMIENTO BARRA IZQUIERDA (4) | MTO BARRA IZQUIERDA (1)"
"ARREGLO TAPAS","5","ARREGLO TAPAS (5)"
"SERVICIO DE SCANNER","5","SERVICIO DE SCANNER (5)"
"STAY","5","STAY (5)"
"BUJES DE MANUBRIO","5","BUJES DE MANUBRIO (5)"
"SOLDADURA CHASIS","5","SOLDADURA CHASIS (5)"
"TORNILLOS","5","TORNILLOS (5)"
